Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,15.52000046,15.56999969,15.42000008,15.54199982,15.54199982,91
2019-01-03,15.70600033,15.70600033,15.70600033,15.70600033,15.70600033,7
2019-01-04,15.68999958,15.69499969,15.61999989,15.69499969,15.69499969,12
2019-01-07,15.75,15.75,15.66899967,15.66899967,15.66899967,34
2019-01-08,15.6260004,15.6260004,15.6260004,15.6260004,15.6260004,27
2019-01-09,15.69999981,15.69999981,15.65299988,15.65299988,15.65299988,15
2019-01-10,15.56099987,15.56099987,15.56099987,15.56099987,15.56099987,22
2019-01-11,15.59500027,15.61499977,15.57699966,15.57699966,15.57699966,43
2019-01-14,15.59000015,15.61499977,15.59000015,15.60900021,15.60900021,38
2019-01-15,15.60999966,15.625,15.54599953,15.54599953,15.54599953,64
2019-01-16,15.53499985,15.60000038,15.53499985,15.56400013,15.56400013,7
2019-01-17,15.46700001,15.51000023,15.46700001,15.46700001,15.46700001,27
2019-01-18,15.32999992,15.32999992,15.28999996,15.32999992,15.32999992,14
2019-01-21,15.3125,15.3125,15.21500015,15.29449987,15.29449987,15
2019-01-22,15.29500008,15.29500008,15.14000034,15.25899982,15.25899982,16
2019-01-23,15.31000042,15.31999969,15.27999973,15.31700039,15.31700039,10
2019-01-24,15.23799992,15.27000046,15.23799992,15.23799992,15.23799992,7
2019-01-25,15.25,15.63899994,15.25,15.63899994,15.63899994,7
2019-01-28,15.59500027,15.70899963,15.59500027,15.70899963,15.70899963,7
2019-01-29,15.78600025,15.78600025,15.78600025,15.78600025,15.78600025,120
2019-01-30,15.80500031,15.88500023,15.80500031,15.88000011,15.88000011,65
2019-01-31,16.05999947,16.13999939,16,16.02199936,16.02199936,64
2019-02-01,16.01000023,16.01000023,15.85999966,15.88000011,15.88000011,79
2019-02-04,15.83699989,15.83699989,15.83699989,15.83699989,15.83699989,26
2019-02-05,15.78999996,15.78999996,15.78999996,15.78999996,15.78999996,10
2019-02-06,15.71000004,15.71000004,15.65600014,15.65600014,15.65600014,13
2019-02-07,15.65999985,15.68999958,15.65999985,15.67500019,15.67500019,6
2019-02-08,15.81999969,15.81999969,15.77299976,15.77299976,15.77299976,2
2019-02-11,15.65699959,15.65699959,15.64999962,15.65699959,15.65699959,2
2019-02-12,15.65999985,15.65999985,15.65999985,15.65999985,15.65999985,0
2019-02-13,15.71000004,15.75500011,15.60499954,15.6239996,15.6239996,30
2019-02-14,15.5,15.5,15.5,15.5,15.5,0
2019-02-15,15.72299957,15.72299957,15.72299957,15.72299957,15.72299957,2
2019-02-18,15.83499956,15.83499956,15.83499956,15.83499956,15.83499956,1
2019-02-19,15.94699955,15.94699955,15.94699955,15.94699955,15.94699955,0
2019-02-20,16.15699959,16.15699959,16.05999947,16.15699959,16.15699959,2
2019-02-21,15.97000027,15.97000027,15.79100037,15.79100037,15.79100037,12
2019-02-22,15.90799999,15.90799999,15.90799999,15.90799999,15.90799999,12
2019-02-25,15.94499969,15.94499969,15.82499981,15.82499981,15.82499981,1
2019-02-26,15.82699966,15.82699966,15.82699966,15.82699966,15.82699966,60807
2019-02-27,15.89000034,15.92000008,15.64500046,15.67199993,15.67199993,17247
2019-02-28,15.67500019,15.76500034,15.52000046,15.53800011,15.53800011,1031
2019-03-01,15.55500031,15.57499981,15.07999992,15.16899967,15.16899967,585
2019-03-04,15.17000008,15.20499992,15.00500011,15.0170002,15.0170002,317
2019-03-05,15.02499962,15.07499981,15.00500011,15.02000046,15.02000046,222
2019-03-06,15.02499962,15.02499962,14.97500038,15.00300026,15.00300026,25
2019-03-07,15.02499962,15.02499962,14.92000008,14.96000004,14.96000004,8
2019-03-08,15.04500008,15.27200031,15.04500008,15.27200031,15.27200031,11
2019-03-11,15.21500015,15.21500015,15.19699955,15.19699955,15.19699955,16
2019-03-12,15.3380003,15.39999962,15.3380003,15.3380003,15.3380003,23
2019-03-13,15.375,15.42000008,15.36999989,15.38099957,15.38099957,110
2019-03-14,15.18500042,15.18500042,15.09000015,15.10099983,15.10099983,20
2019-03-15,15.24499989,15.25500011,15.22000027,15.25300026,15.25300026,5
2019-03-18,15.2510004,15.2510004,15.2510004,15.2510004,15.2510004,0
2019-03-19,15.31499958,15.31499958,15.30000019,15.30099964,15.30099964,21
2019-03-20,15.28499985,15.28999996,15.22000027,15.24499989,15.24499989,94
2019-03-21,15.52000046,15.52000046,15.37199974,15.37199974,15.37199974,3
2019-03-22,15.34500027,15.34500027,15.34500027,15.34500027,15.34500027,0
2019-03-25,15.51500034,15.51500034,15.5,15.50699997,15.50699997,6
2019-03-26,15.39999962,15.42000008,15.37100029,15.37100029,15.37100029,45
2019-03-27,15.23900032,15.23900032,15.23900032,15.23900032,15.23900032,375
2019-03-28,15.22999954,15.23499966,14.90999985,14.92099953,14.92099953,343
